报告编码,医院_伤害,医院_伤害_input,医院_伤害表现,医院_器械故障表现,医院_使用过程,医院_事件原因分析,医院_事件原因分析描述,企业_伤害表现,企业_伤害_input,企业_器械故障表现,企业_使用过程,企业_事件原因分析
1253717032023000699,其他,[CLS]无[SEP]科室工作人员在使用前对设备检查时候发现设备启动按钮不起作用[SEP]2023年10月10日科室工作人员在使用前对设备检查时候发现设备启动按钮不起作用通知设备科到场进行检修发现设备按键开关损坏对设备进行更换新的按键开关后设备恢复正常使用[SEP],无,科室工作人员在使用前对设备检查时候发现设备启动按钮不起作用,2023年10月10日科室工作人员在使用前对设备检查时候发现设备启动按钮不起作用通知设备科到场进行检修发现设备按键开关损坏对设备进行更换新的按键开关后设备恢复正常使用,产品原因（包括说明书等）,科室工作人员在使用前对设备检查时候发现设备启动按钮不起作用,无,[CLS]无[SEP]科室工作人员在使用前对设备检查时候发现设备启动按钮不起作用[SEP]2023年10月10日科室工作人员在使用前对设备检查时候发现设备启动按钮不起作用通知设备科到场进行检修发现设备按键开关损坏对设备进行更换新的按键开关后设备恢复正常使用[SEP],科室工作人员在使用前对设备检查时候发现设备启动按钮不起作用,2023年10月10日科室工作人员在使用前对设备检查时候发现设备启动按钮不起作用通知设备科到场进行检修发现设备按键开关损坏对设备进行更换新的按键开关后设备恢复正常使用,由于该设备已使用11年处于超预期使用状态长期临床使用频繁按压启动键启动键老化失灵无法正常使用
1253717032023000702,其他,[CLS]无[SEP]开机异常[SEP]2023年10月9日急诊科在使用该设备时发现该设备开机异常随即报修至设备科因有备用设备未对患者造成影响[SEP],无,开机异常,2023年10月9日急诊科在使用该设备时发现该设备开机异常随即报修至设备科因有备用设备未对患者造成影响,产品原因（包括说明书等）,原因不明无法确定,无,[CLS]无[SEP]开机异常[SEP]2023年10月9日急诊科在使用该设备时发现该设备开机异常随即报修至设备科因有备用设备未对患者造成影响[SEP],开机异常,2023年10月9日急诊科在使用该设备时发现该设备开机异常随即报修至设备科因有备用设备未对患者造成影响,由于该设备已使用11年处于超预期使用状态长期临床使用电源板老化失灵无法正常为设备传递电量导致设备无法正常开机
1274209002023000149,其他,[CLS]未对患者造成伤害[SEP]实际输注速度比设置速度快[SEP]10月12日工作人员胡欣使用注射泵未患儿注射能量设置速度未52mlh实际输注速度1小时45ml[SEP],未对患者造成伤害,实际输注速度比设置速度快,10月12日工作人员胡欣使用注射泵未患儿注射能量设置速度未52mlh实际输注速度1小时45ml,产品原因（包括说明书等）,10月12日工作人员胡欣使用注射泵未患儿注射能量设置速度未52mlh实际输注速度1小时45ml,未对患者造成伤害,[CLS]未对患者造成伤害[SEP]实际输注速度比设置速度快[SEP]10月12日工作人员胡欣使用注射泵未患儿注射能量设置速度未52mlh实际输注速度1小时45ml[SEP],实际输注速度比设置速度快,10月12日工作人员胡欣使用注射泵未患儿注射能量设置速度未52mlh实际输注速度1小时45ml,由于医院长期未进行注射器校准设备内存储的注射器参数与实际上泵的注射器参数不一致设备无法正常控制注射器管路内液体流速导致实际流速大于设定流速
1294410002023000757,严重伤害,[CLS]微泵激素药物中断耽误病人治疗[SEP]微泵突然断电微泵报警[SEP]2023年8月29日1700微泵激素药物进行冲击疗法突然微泵报警药物暂时中断泵注患者家属提出疑问[SEP],微泵激素药物中断耽误病人治疗,微泵突然断电微泵报警,2023年8月29日1700微泵激素药物进行冲击疗法突然微泵报警药物暂时中断泵注患者家属提出疑问,产品原因（包括说明书等）,经检查是电源插头螺丝松脱导致插头松动报警,微泵激素药物中断耽误病人治疗,[CLS]微泵激素药物中断耽误病人治疗[SEP]微泵突然断电微泵报警[SEP]2023年8月29日1700微泵激素药物进行冲击疗法突然微泵报警药物暂时中断泵注患者家属提出疑问[SEP],微泵突然断电微泵报警,2023年8月29日1700微泵激素药物进行冲击疗法突然微泵报警药物暂时中断泵注患者家属提出疑问,院方上报的是严重伤害根据严重伤害的定义我公司认为应为其他1由于压力传感器插头松动无法正常监测管路内压力值所以设备报警提示阻塞2压力传感器插头松动的原因分析为临床转运频繁搬动设备设备震动跌宕内部电线晃动导致压力传感器插头松动
1162112062023000060,其他,[CLS]无明显伤害[SEP]报警[SEP]患者入院后遵医嘱给予患者静脉泵入降糖药机器不正常报警更换注射泵后正常泵入[SEP],无明显伤害,报警,患者入院后遵医嘱给予患者静脉泵入降糖药机器不正常报警更换注射泵后正常泵入,产品原因（包括说明书等）,机器故障,无明显伤害,[CLS]无明显伤害[SEP]报警[SEP]患者入院后遵医嘱给予患者静脉泵入降糖药机器不正常报警更换注射泵后正常泵入[SEP],报警,患者入院后遵医嘱给予患者静脉泵入降糖药机器不正常报警更换注射泵后正常泵入,经售后工程师检查设备喇叭无法发出声音分析是由于设备已使用9年处于超预期使用状态长期临床使用喇叭老化无法正常发声
1253709052023000275,其他,[CLS]无[SEP]D150101_断裂[SEP]2023年8月18日1000送修一台注射泵经观察发现注射杆断裂经过维修1030恢复正常使用[SEP],无,D150101_断裂,2023年8月18日1000送修一台注射泵经观察发现注射杆断裂经过维修1030恢复正常使用,无法确定,注射杆断裂,无,[CLS]无[SEP]D150101_断裂[SEP]2023年8月18日1000送修一台注射泵经观察发现注射杆断裂经过维修1030恢复正常使用[SEP],D150101_断裂,2023年8月18日1000送修一台注射泵经观察发现注射杆断裂经过维修1030恢复正常使用,由于该设备已使用11年处于超预期使用状态长期临床使用前壳上的压柄导向柱材质老化开裂
1376104002023000496,其他,[CLS]无[SEP]异常报警[SEP]20230927护士在给患者使用输液泵的过程中输液泵异常报警无法正常工作停止使用及时更换[SEP],无,异常报警,20230927护士在给患者使用输液泵的过程中输液泵异常报警无法正常工作停止使用及时更换,无法确定,经检测注射泵内部导联线脱落导致注射泵异常报警,无,[CLS]无[SEP]异常报警[SEP]20230927护士在给患者使用输液泵的过程中输液泵异常报警无法正常工作停止使用及时更换[SEP],异常报警,20230927护士在给患者使用输液泵的过程中输液泵异常报警无法正常工作停止使用及时更换,1经拆机检查设备内部主从道连接线与主道主控板连接处插头松动导致设备报警提示系统故障42由于临床使用过程中频繁搬动设备设备震动跌宕内部电线晃动导致的线束插头松动
1264102322023000497,其他,[CLS]无[SEP]治疗泵管夹脱落[SEP]微量泵使用过程中泵管夹脱落[SEP],无,治疗泵管夹脱落,微量泵使用过程中泵管夹脱落,产品原因（包括说明书等）,微量泵使用过程中泵管夹脱落产品存在安全隐患,无,[CLS]无[SEP]治疗泵管夹脱落[SEP]微量泵使用过程中泵管夹脱落[SEP],治疗泵管夹脱落,微量泵使用过程中泵管夹脱落,由于该设备已使用9年处于超预期使用状态长期临床使用压柄材质老化根部开裂无法正常将压柄固定在前壳压柄导向柱上导致压柄脱落
1386204092023000587,其他,[CLS]无[SEP]输液开始时报警完成[SEP]夹上输液器调好滴速后按开始报警显示完成[SEP],无,输液开始时报警完成,夹上输液器调好滴速后按开始报警显示完成,产品原因（包括说明书等）,初步判断为系统故障,无,[CLS]无[SEP]输液开始时报警完成[SEP]夹上输液器调好滴速后按开始报警显示完成[SEP],输液开始时报警完成,夹上输液器调好滴速后按开始报警显示完成,1经售后工程师拆机检查发现短电位器插头松动无法正常检测上泵的注射器直径导致设备无法识别注射器规格启动后报输液完成2短电位器插头松动的原因分析是由于长期临床使用频繁搬动设备设备震动跌宕内部电线晃动导致短电位器插头松动
1253715022023000305,其他,[CLS]延误患者治疗[SEP]固定座螺丝松动[SEP]2023年9月8日神经内三科护士准备使用注射泵时发现固定座螺丝松动立即停止设备使用科室立即报修设备科[SEP],延误患者治疗,固定座螺丝松动,2023年9月8日神经内三科护士准备使用注射泵时发现固定座螺丝松动立即停止设备使用科室立即报修设备科,产品原因（包括说明书等）,怀疑产品设计问题应采用防滑螺丝固定座脱落设备掉落容易造成安全事故,延误患者治疗,[CLS]延误患者治疗[SEP]固定座螺丝松动[SEP]2023年9月8日神经内三科护士准备使用注射泵时发现固定座螺丝松动立即停止设备使用科室立即报修设备科[SEP],固定座螺丝松动,2023年9月8日神经内三科护士准备使用注射泵时发现固定座螺丝松动立即停止设备使用科室立即报修设备科,由于医院长期临床使用频繁搬动设备设备震动跌宕导致紧固夹底座上的螺丝松动无法正常固定设备
1253718062023000207,其他,[CLS]null[SEP]设备报警故障2[SEP]设备使用过程中报警故障2[SEP],null,设备报警故障2,设备使用过程中报警故障2,产品原因（包括说明书等）,null,null,[CLS]null[SEP]设备报警故障2[SEP]设备使用过程中报警故障2[SEP],设备报警故障2,设备使用过程中报警故障2,1拆机检查发现运行传感器长电位器插头松动导致运行信号传递异常引发报警2由于该设备已在医院使用6年处于超预期寿命使用状态长期使用频繁搬动设备设备震动跌宕内部电线晃动导致长电位器插头松动
1253717032023000627,其他,[CLS]无[SEP]科室工作人员在使用前对设备检查时候发现设备没有电[SEP]2023年9月8日科室工作人员在使用前对注射泵检查时候发现设备没有电通知设备科工程师到场进行检修发现设备电池损坏设备科工程师对设备进行更换电池维修后设备恢复正常使用[SEP],无,科室工作人员在使用前对设备检查时候发现设备没有电,2023年9月8日科室工作人员在使用前对注射泵检查时候发现设备没有电通知设备科工程师到场进行检修发现设备电池损坏设备科工程师对设备进行更换电池维修后设备恢复正常使用,产品原因（包括说明书等）,科室工作人员在使用前对设备检查时候发现设备没有电通知设备科工程师到场进行检修发现设备电池损坏,无,[CLS]无[SEP]科室工作人员在使用前对设备检查时候发现设备没有电[SEP]2023年9月8日科室工作人员在使用前对注射泵检查时候发现设备没有电通知设备科工程师到场进行检修发现设备电池损坏设备科工程师对设备进行更换电池维修后设备恢复正常使用[SEP],科室工作人员在使用前对设备检查时候发现设备没有电,2023年9月8日科室工作人员在使用前对注射泵检查时候发现设备没有电通知设备科工程师到场进行检修发现设备电池损坏设备科工程师对设备进行更换电池维修后设备恢复正常使用,1经售后工程师拆机检查设备内电池老化无法正常储存电量导致设备无法在电池供电模式下正常启动2由于该设备已使用10年处于超预期使用状态长期频繁对电池进行充放电电池性能老化无法正常储存电量
1253718062023000203,其他,[CLS]null[SEP]注射器推杆推拉困难[SEP]注射器推杆变形推拉困难无法使用[SEP],null,注射器推杆推拉困难,注射器推杆变形推拉困难无法使用,产品原因（包括说明书等）,产品设计缺陷造成推杆部位易磕碰,null,[CLS]null[SEP]注射器推杆推拉困难[SEP]注射器推杆变形推拉困难无法使用[SEP],注射器推杆推拉困难,注射器推杆变形推拉困难无法使用,由于该设备已使用6年处于超预期使用状态长期临床使用前壳上压柄导向柱材质老化变形无法正常顺畅拉动伸缩压柄导致安装注射器时困难
1162112062023000065,其他,[CLS]用药不及时[SEP]报警[SEP]遵医嘱给予患者静脉泵入药物注射泵报警显示堵塞排查原因后解除报警药物正常泵入[SEP],用药不及时,报警,遵医嘱给予患者静脉泵入药物注射泵报警显示堵塞排查原因后解除报警药物正常泵入,产品原因（包括说明书等）,管理堵塞电源线脱落电池负压,用药不及时,[CLS]用药不及时[SEP]报警[SEP]遵医嘱给予患者静脉泵入药物注射泵报警显示堵塞排查原因后解除报警药物正常泵入[SEP],报警,遵医嘱给予患者静脉泵入药物注射泵报警显示堵塞排查原因后解除报警药物正常泵入,1阻塞的原因为使用时延长管管路弯折导致管路内压力值变大设备提示阻塞报警2低电压的原因是由于该设备已使用9年处于超预期使用状态长期临床使用频繁对电池进行充放电电池蓄电能力降低无法满足正常工作需求当电源线脱落不慎脱落由交流电供电变为电池供电电池电量无法满足设备需求时设备报警低电压
1406528012023000066,其他,[CLS]科室在使用时发现注射泵报系统故障经检查后发现注射泵内部螺丝脱落导致电机烧坏[SEP]科室在使用时发现注射泵报系统故障经检查后发现注射泵内部螺丝脱落导致电机烧坏[SEP]科室在使用时发现注射泵报系统故障经检查后发现注射泵内部螺丝脱落导致电机烧坏[SEP],科室在使用时发现注射泵报系统故障经检查后发现注射泵内部螺丝脱落导致电机烧坏,科室在使用时发现注射泵报系统故障经检查后发现注射泵内部螺丝脱落导致电机烧坏,科室在使用时发现注射泵报系统故障经检查后发现注射泵内部螺丝脱落导致电机烧坏,产品原因（包括说明书等）,null,科室在使用时发现注射泵报系统故障经检查后发现注射泵内部螺丝脱落导致电机烧坏,[CLS]科室在使用时发现注射泵报系统故障经检查后发现注射泵内部螺丝脱落导致电机烧坏[SEP]科室在使用时发现注射泵报系统故障经检查后发现注射泵内部螺丝脱落导致电机烧坏[SEP]科室在使用时发现注射泵报系统故障经检查后发现注射泵内部螺丝脱落导致电机烧坏[SEP],科室在使用时发现注射泵报系统故障经检查后发现注射泵内部螺丝脱落导致电机烧坏,科室在使用时发现注射泵报系统故障经检查后发现注射泵内部螺丝脱落导致电机烧坏,1经检查故障发生的原因为电机模块的螺丝脱落卡在电机上电机运行过程中被螺丝卡住无法正常步进导致电机烧坏2螺丝脱落的原因分析为由于该设备已使用6年处于超预期使用状态长期临床转运搬动设备设备震动跌宕内部螺丝随设备晃动发生松动现象长期松动导致脱落
1294419292023000276,其他,[CLS]null[SEP]针筒推杆夹断裂[SEP]2023年9月13日1053我院医护人员发现注射泵2号通道针筒推杆夹断裂通知设备科进行检修[SEP],null,针筒推杆夹断裂,2023年9月13日1053我院医护人员发现注射泵2号通道针筒推杆夹断裂通知设备科进行检修,无法确定,注射泵2号通道针筒推杆夹断裂,null,[CLS]null[SEP]针筒推杆夹断裂[SEP]2023年9月13日1053我院医护人员发现注射泵2号通道针筒推杆夹断裂通知设备科进行检修[SEP],针筒推杆夹断裂,2023年9月13日1053我院医护人员发现注射泵2号通道针筒推杆夹断裂通知设备科进行检修,1针对捏柄开裂的问题技术人员使用出现开裂现象的同类捏柄其材质为ABS硬塑料内嵌金属预埋件进行疲劳实验在经过数万次捏合后部分会出现开裂现象2将捏柄的注塑材质改为尼龙玻纤再按相同工艺制作捏柄做对比实验没有出现开裂现象3结论ABS硬塑料内嵌金属预埋件材质注塑的捏柄强度不够造成捏柄开裂
1253717072023000985,其他,[CLS]无[SEP]长电合器排线松动[SEP]2023年9月8日科室报修一台注射泵报警异常检查发现注射泵长电合器排线松动给予重新固定排线后正常使用[SEP],无,长电合器排线松动,2023年9月8日科室报修一台注射泵报警异常检查发现注射泵长电合器排线松动给予重新固定排线后正常使用,产品原因（包括说明书等）,长电合器排线松动,无,[CLS]无[SEP]长电合器排线松动[SEP]2023年9月8日科室报修一台注射泵报警异常检查发现注射泵长电合器排线松动给予重新固定排线后正常使用[SEP],长电合器排线松动,2023年9月8日科室报修一台注射泵报警异常检查发现注射泵长电合器排线松动给予重新固定排线后正常使用,1经拆机检查发现长电位器和主板连线的插头松动并非医院描述的长电合器排线松动2由于设备已在医院使用10年处于超预期使用状态长期临床使用频繁搬动设备设备震动跌宕内部电线晃动导致长电位器插头松动
1386204092023000588,其他,[CLS]无[SEP]阻塞报警[SEP]固定好注射器按开始键后设备阻塞报警[SEP],无,阻塞报警,固定好注射器按开始键后设备阻塞报警,"产品原因（包括说明书等）,无法确定",初步判断为输液器故障或系统故障,无,[CLS]无[SEP]阻塞报警[SEP]固定好注射器按开始键后设备阻塞报警[SEP],阻塞报警,固定好注射器按开始键后设备阻塞报警,1经售后工程师检查设备内压力传感器插头松动导致设备无法正常监测管路内压力值设备提示阻塞报警2压力传感器松动的原因分析为由于该设备已使用11年处于超预期使用状态长期临床使用频繁搬动设备设备震动跌宕内部线路晃动导致压力传感器插头松动
1406528112023000201,其他,[CLS]设备故障导致科室注射泵短缺给工作人员带来不便[SEP]夹子手柄断裂[SEP]9月19日CCU护士准备使用注射泵时发现手柄断裂立即报设备科设备科工程师取回维修室已解决了故障设备恢复正常[SEP],设备故障导致科室注射泵短缺给工作人员带来不便,夹子手柄断裂,9月19日CCU护士准备使用注射泵时发现手柄断裂立即报设备科设备科工程师取回维修室已解决了故障设备恢复正常,无法确定,产品使用年限过长外壳老化导致手柄断裂,设备故障导致科室注射泵短缺给工作人员带来不便,[CLS]设备故障导致科室注射泵短缺给工作人员带来不便[SEP]夹子手柄断裂[SEP]9月19日CCU护士准备使用注射泵时发现手柄断裂立即报设备科设备科工程师取回维修室已解决了故障设备恢复正常[SEP],夹子手柄断裂,9月19日CCU护士准备使用注射泵时发现手柄断裂立即报设备科设备科工程师取回维修室已解决了故障设备恢复正常,由于该设备已使用10年处于超预期使用状态长期临床使用频繁捏合捏柄捏柄材质老化开裂无法正常固定注射器
1182308052023000046,其他,[CLS]null[SEP]未达到设置注射量[SEP]2023年5月23日遵医嘱给患者静注氨茶碱地塞米松注射液每小时5ml一小时后护士发现未达到所调注射量立即更换仪器[SEP],null,未达到设置注射量,2023年5月23日遵医嘱给患者静注氨茶碱地塞米松注射液每小时5ml一小时后护士发现未达到所调注射量立即更换仪器,无法确定,null,null,[CLS]null[SEP]未达到设置注射量[SEP]2023年5月23日遵医嘱给患者静注氨茶碱地塞米松注射液每小时5ml一小时后护士发现未达到所调注射量立即更换仪器[SEP],未达到设置注射量,2023年5月23日遵医嘱给患者静注氨茶碱地塞米松注射液每小时5ml一小时后护士发现未达到所调注射量立即更换仪器,由于医院长期未进行注射器校准设备内存储的注射器参数与实际上泵的注射器参数不一致设备无法正常控制注射器管路内液体流速导致实际流速小于设定流速
1253706002023001171,其他,[CLS]null[SEP]注射器无法正常识别[SEP]注射器放入输液泵中无法被设备识别[SEP],null,注射器无法正常识别,注射器放入输液泵中无法被设备识别,产品原因（包括说明书等）,null,null,[CLS]null[SEP]注射器无法正常识别[SEP]注射器放入输液泵中无法被设备识别[SEP],注射器无法正常识别,注射器放入输液泵中无法被设备识别,由于该设备已使用5年处于超预期使用状态长期临床使用频繁搬动设备设备震动跌宕推拉盒内部推钮位置发生偏移无法正常检测注射器长度导致设备无法识别注射器规格
1182308052023000040,其他,[CLS]null[SEP]未达到所调注射量[SEP]2023年1月20日遵医嘱给患者静脉注射氨茶碱地塞米松注射液每小时5ml一小时后观察发现未注入设置量立即更换注射泵[SEP],null,未达到所调注射量,2023年1月20日遵医嘱给患者静脉注射氨茶碱地塞米松注射液每小时5ml一小时后观察发现未注入设置量立即更换注射泵,无法确定,null,null,[CLS]null[SEP]未达到所调注射量[SEP]2023年1月20日遵医嘱给患者静脉注射氨茶碱地塞米松注射液每小时5ml一小时后观察发现未注入设置量立即更换注射泵[SEP],未达到所调注射量,2023年1月20日遵医嘱给患者静脉注射氨茶碱地塞米松注射液每小时5ml一小时后观察发现未注入设置量立即更换注射泵,由于医院长期未进行注射器校准设备内存储的注射器参数与实际上泵的注射器参数不一致设备无法正常控制注射器管路内液体流速导致实际流速小于设定流速
1223401032023004349,其他,[CLS]null[SEP]机器电源接触不良[SEP]机器电源接触不良[SEP],null,机器电源接触不良,机器电源接触不良,无法确定,null,null,[CLS]null[SEP]机器电源接触不良[SEP]机器电源接触不良[SEP],机器电源接触不良,机器电源接触不良,由于该设备已使用5年处于超预期使用状态长期临床使用频繁插拔电源线电源线端口处磨损松动无法正常与设备端口连接导致电源线接触不良
1386204092023000586,其他,[CLS]无[SEP]设备卡夹破裂[SEP]夹注射器时泵夹断裂[SEP],无,设备卡夹破裂,夹注射器时泵夹断裂,"产品原因（包括说明书等）,无法确定",根据科室反馈及现场询问初步判断为泵夹材质较脆导致破裂,无,[CLS]无[SEP]设备卡夹破裂[SEP]夹注射器时泵夹断裂[SEP],设备卡夹破裂,夹注射器时泵夹断裂,由于该设备已使用8年处于超预期使用状态长期临床使用捏柄材质老化按压捏柄时捏柄受力开裂
1386204092023000510,其他,[CLS]未造成伤害[SEP]注射泵无法正常启动[SEP]护士遵医嘱静脉推注西地兰在准备使用该设备时发现该设备无法正常启动[SEP],未造成伤害,注射泵无法正常启动,护士遵医嘱静脉推注西地兰在准备使用该设备时发现该设备无法正常启动,产品原因（包括说明书等）,产品电源部分故障,未造成伤害,[CLS]未造成伤害[SEP]注射泵无法正常启动[SEP]护士遵医嘱静脉推注西地兰在准备使用该设备时发现该设备无法正常启动[SEP],注射泵无法正常启动,护士遵医嘱静脉推注西地兰在准备使用该设备时发现该设备无法正常启动,由于该设备已使用11年处于超预期使用状态长期临床转动搬动设备设备震动跌宕内部短电位器螺丝松动导致短电位器值不准无法正常识别上泵的注射器
1386204092023000503,其他,[CLS]未造成伤害[SEP]推进器推进困难[SEP]护士遵医嘱静脉推注甲强龙注射时固定注射器的推拉杆固定不良药液推进困难[SEP],未造成伤害,推进器推进困难,护士遵医嘱静脉推注甲强龙注射时固定注射器的推拉杆固定不良药液推进困难,产品原因（包括说明书等）,产品固定注射器的推拉杆固定不良,未造成伤害,[CLS]未造成伤害[SEP]推进器推进困难[SEP]护士遵医嘱静脉推注甲强龙注射时固定注射器的推拉杆固定不良药液推进困难[SEP],推进器推进困难,护士遵医嘱静脉推注甲强龙注射时固定注射器的推拉杆固定不良药液推进困难,由于该设备已使用12年处于超预期使用状态长期临床使用推拉盒材质老化硬度降低转运搬动设备时磕碰设备导致推拉盒外壳破裂
1172224012023000046,其他,[CLS]无[SEP]null[SEP]正常使用[SEP],无,null,正常使用,无法确定,患者多设备使用率过高,无,[CLS]无[SEP]null[SEP]正常使用[SEP],null,正常使用,由于该设备已使用8年处于超预期使用状态长期临床使用频繁捏合捏柄捏柄材质老化导致开裂
1253709052023000274,其他,[CLS]无[SEP]D150101_断裂[SEP]2023年8月18日1000送修一台注射泵经观察发现注射杆断裂经过维修1030恢复正常使用[SEP],无,D150101_断裂,2023年8月18日1000送修一台注射泵经观察发现注射杆断裂经过维修1030恢复正常使用,无法确定,注射杆断裂,无,[CLS]无[SEP]D150101_断裂[SEP]2023年8月18日1000送修一台注射泵经观察发现注射杆断裂经过维修1030恢复正常使用[SEP],D150101_断裂,2023年8月18日1000送修一台注射泵经观察发现注射杆断裂经过维修1030恢复正常使用,由于该设备已使用11年处于超预期使用状态长期临床使用前壳上的压柄导向柱材质老化开裂
1253701012023000198,其他,[CLS]null[SEP]注射泵显示系统故障4无法正常工作[SEP]202308081021我院麻醉师在调试使用注射泵时注射泵显示系统故障4无法正常工作遂立即更换设备报修设备科工作人员进行现场查看发现内部线路接触不良后给予重新连接设备正常使用未对患者造成伤害后上报医疗器械不良事件[SEP],null,注射泵显示系统故障4无法正常工作,202308081021我院麻醉师在调试使用注射泵时注射泵显示系统故障4无法正常工作遂立即更换设备报修设备科工作人员进行现场查看发现内部线路接触不良后给予重新连接设备正常使用未对患者造成伤害后上报医疗器械不良事件,"产品原因（包括说明书等）,操作原因",设备科工作人员现场查看发现系机器内部线路接触不良导致故障,null,[CLS]null[SEP]注射泵显示系统故障4无法正常工作[SEP]202308081021我院麻醉师在调试使用注射泵时注射泵显示系统故障4无法正常工作遂立即更换设备报修设备科工作人员进行现场查看发现内部线路接触不良后给予重新连接设备正常使用未对患者造成伤害后上报医疗器械不良事件[SEP],注射泵显示系统故障4无法正常工作,202308081021我院麻醉师在调试使用注射泵时注射泵显示系统故障4无法正常工作遂立即更换设备报修设备科工作人员进行现场查看发现内部线路接触不良后给予重新连接设备正常使用未对患者造成伤害后上报医疗器械不良事件,1拆机检查发现主从道连接线插头从插座上脱落导致接触不良无法正常运行2分析可能是临床搬动转运过程中设备受到外力磕碰震动跌宕导致插头脱落
1137404572023000125,其他,[CLS]无[SEP]机器报警[SEP]2023年4月30日神内二病区护士在给病人进行注射治疗前开机检查设备发现设备报警更换备用机后上报医工科医工科工程师到场检查发现设备参数与注射器品牌不符由于设备频繁使用不同品牌注射器需要更换参数更换正确参数后设备报警解除恢复正常使用[SEP],无,机器报警,2023年4月30日神内二病区护士在给病人进行注射治疗前开机检查设备发现设备报警更换备用机后上报医工科医工科工程师到场检查发现设备参数与注射器品牌不符由于设备频繁使用不同品牌注射器需要更换参数更换正确参数后设备报警解除恢复正常使用,"无法确定,操作原因",设备参数与注射器品牌不符,无,[CLS]无[SEP]机器报警[SEP]2023年4月30日神内二病区护士在给病人进行注射治疗前开机检查设备发现设备报警更换备用机后上报医工科医工科工程师到场检查发现设备参数与注射器品牌不符由于设备频繁使用不同品牌注射器需要更换参数更换正确参数后设备报警解除恢复正常使用[SEP],机器报警,2023年4月30日神内二病区护士在给病人进行注射治疗前开机检查设备发现设备报警更换备用机后上报医工科医工科工程师到场检查发现设备参数与注射器品牌不符由于设备频繁使用不同品牌注射器需要更换参数更换正确参数后设备报警解除恢复正常使用,经售后工程师与医院沟通故障发生时使用的注射器品牌与设备设定的品牌不一致导致设备无法正常识别注射器规格导致启动后报警提示注射器脱落
1151527032023000062,其他,[CLS]未造成伤害[SEP]D0305_松动连接[SEP]2023年8月19日达拉特旗人民医院心血管内科工作人员准备使用注射泵时开机后发现显示屏空白[SEP],未造成伤害,D0305_松动连接,2023年8月19日达拉特旗人民医院心血管内科工作人员准备使用注射泵时开机后发现显示屏空白,无法确定,镜检查发现设备的排线松动,未造成伤害,[CLS]未造成伤害[SEP]D0305_松动连接[SEP]2023年8月19日达拉特旗人民医院心血管内科工作人员准备使用注射泵时开机后发现显示屏空白[SEP],D0305_松动连接,2023年8月19日达拉特旗人民医院心血管内科工作人员准备使用注射泵时开机后发现显示屏空白,1经售后工程师拆机检查发现显示屏与主控板连接的排线插头松动无法正常传递图像信号2排线插头松动的原因分析是由于临床频繁转运搬动设备设备震动跌宕内部排线晃动导致插头松动
1162102032023000131,其他,[CLS]影响注射[SEP]注射泵治疗结束后该设备报警系统未发出响声[SEP]患者于8月8日以呼吸困难胸闷气短反复发作一年加重3天入院8月10日遵医嘱给予新活素05毫克盐水50毫升静脉4mll微量泵泵入于下午16点30分泵入完成报警系统未发出响声[SEP],影响注射,注射泵治疗结束后该设备报警系统未发出响声,患者于8月8日以呼吸困难胸闷气短反复发作一年加重3天入院8月10日遵医嘱给予新活素05毫克盐水50毫升静脉4mll微量泵泵入于下午16点30分泵入完成报警系统未发出响声,产品原因（包括说明书等）,机器故障,影响注射,[CLS]影响注射[SEP]注射泵治疗结束后该设备报警系统未发出响声[SEP]患者于8月8日以呼吸困难胸闷气短反复发作一年加重3天入院8月10日遵医嘱给予新活素05毫克盐水50毫升静脉4mll微量泵泵入于下午16点30分泵入完成报警系统未发出响声[SEP],注射泵治疗结束后该设备报警系统未发出响声,患者于8月8日以呼吸困难胸闷气短反复发作一年加重3天入院8月10日遵医嘱给予新活素05毫克盐水50毫升静脉4mll微量泵泵入于下午16点30分泵入完成报警系统未发出响声,1拆机检查发现喇叭本身不发声判断是喇叭不良2喇叭不良的原因分析是喇叭内部电线焊接不良在使用过程中由于转运搬动设备线束晃动导致焊点松动脱落无法正常导电发声
1292917122023000325,其他,[CLS]无[SEP]D0101_故障提示[SEP]20230813质控设备是发现注射泵显示故障报错系统故障6经询问厂家工程师与查找维修手册故障指示压力传感器故障停用上报厂家更换配件[SEP],无,D0101_故障提示,20230813质控设备是发现注射泵显示故障报错系统故障6经询问厂家工程师与查找维修手册故障指示压力传感器故障停用上报厂家更换配件,产品原因（包括说明书等）,压力传感器故障,无,[CLS]无[SEP]D0101_故障提示[SEP]20230813质控设备是发现注射泵显示故障报错系统故障6经询问厂家工程师与查找维修手册故障指示压力传感器故障停用上报厂家更换配件[SEP],D0101_故障提示,20230813质控设备是发现注射泵显示故障报错系统故障6经询问厂家工程师与查找维修手册故障指示压力传感器故障停用上报厂家更换配件,1拆机检查发现为压力传感器上线束与传感器接头处焊点松动2分析是压力传感器与连接线连接处焊接不良在使用过程中由于转运搬动设备线束晃动导致焊点松动脱落导致传感器无法正常监测实时压力值提示系统故障6
